state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
NV,2013,Total,4279.235535,741.0906792,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NY,2013,Total,4981.963806,709.3516426,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
OH,2013,Total,4940.153442,805.5804176,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
OK,2013,Total,4591.547424,898.1113663,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
OR,2013,Total,4449.382935,733.7006721,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PA,2013,Total,4665.849243,706.7895241,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
RI,2013,Total,4998.017334,605.3036976,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SC,2013,Total,5505.587769,913.0244904,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SD,2013,Total,5643.017639,934.9228516,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
TN,2013,Total,4556.168213,872.6458015,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
TX,2013,Total,5110.118713,892.2597961,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
UT,2013,Total,3772.562256,745.3465729,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
VA,2013,Total,4673.566589,698.2514191,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
VT,2013,Total,5184.250427,822.1271706,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WA,2013,Total,4631.822327,747.9190636,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WI,2013,Total,5368.27124,885.7757797,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WV,2013,Total,5590.869873,822.4605637,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WY,2013,Total,6007.831909,911.7511597,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
US,2013,Total,4833.758545,776.4012871,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
